id,name,title,slug,page_layout,tag_page_type,tag_media_1,tag_media_2,tag_language,tag_university,tag_canton,tag_special_content_1,tag_special_content_2,tag_references,tag_footnotes,tag_others,user_1_id,user_2_id,user_3_id,user_4_id,user_1_username,user_2_username,user_3_username,user_4_username
9329,"EVENT discussion de Robert Kurz (2022), L’État n’est pas le sauveur suprême, Albi : Crise et Critique.","Robert Kurz (2022), L’État n’est pas le sauveur suprême, Albi : Crise et Critique.",2023-04-15-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9330,"EVENT discussion de Robert Kurz (2012), Geld ohne Wert Grundrisse zu einer Transformation der Kritik der politischen Ökonomie, Berlin : Horlemann. ","Robert Kurz (2012), Geld ohne Wert Grundrisse zu einer Transformation der Kritik der politischen Ökonomie, Berlin : Horlemann.",2024-05-13-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9175,EVENT Quodlibeta: Vincent Lam (Berne): Anthropocene,"Quodlibeta: Vincent Lam (Berne): Anthropocene, planetary boundaries and tipping points: interdisciplinarity and values in Earth system science",2023-05-10-quodlibeta,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9313,EVENT Ce que les femmes font à la création ,Ce que les femmes font à la création,2023-05-05-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9309,EVENT Rousseau éducateur  ,Rousseau éducateur  ,2023-05-03-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9265,EVENT Giuliano Torrengo: The Passage of Time,Giuliano Torrengo: The Passage of Time,2023-04-27-eidos,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9348,"EVENT  Postone et le retour à Marx, le concept de travail abstrait"," Postone et le retour à Marx, le concept de travail abstrait",2023-04-17-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9340,EVENT Robert Kurz et la métaphysique réelle du capitalisme pt. 2,Robert Kurz et la métaphysique réelle du capitalisme pt. 2 ,2023-04-03-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9238,"EVENT Martin Lipman (Leiden): On time, standpoints and metaphysical relativity","Martin Lipman (Leiden): On time, standpoints and metaphysical relativity",2023-04-19-quodlibeta,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9216,"EVENT Quodlibeta: Klaus Corcilius, Practical Truth in Aristotle","Quodlibeta: Klaus Corcilius, Practical Truth in Aristotle",2023-03-29-quodlibeta,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9261,EVENT Lorenzo Cocco: From Physics to Platonism,Lorenzo Cocco: From Physics to Platonism,2023-03-23-eidos,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9328,"EVENT discussion de Roswitha Scholz (2023), Forme sociale et totalité concrète. Sur l’urgence d’un réalisme dialectique aujourd’hui, Albi : Crise et Critique.","Roswitha Scholz (2023), Forme sociale et totalité concrète. Sur l’urgence d’un réalisme dialectique aujourd’hui, Albi : Crise et Critique.",2024-03-18-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
9239,EVENT Quodlibeta: Nick Huggett (UIC): Resolving the Problem of Time,Quodlibeta: Nick Huggett (UIC): Resolving the Problem of Time,2023-03-15-quodlibeta,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9240,EVENT Quodlibeta: Christine Clavien (Genève): Shifting Responsibilities: an Ethical Challenge Posed by the Use of Reasoning Bypassing Interventions,Quodlibeta: Christine Clavien (Genève): Shifting Responsibilities: an Ethical Challenge Posed by the Use of Reasoning Bypassing Interventions,2023-03-08-quodlibeta,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9258,EVENT Robert Michels: Ways of Being Wise, Robert Michels: Ways of Being Wise,2023-03-02-eidos,event,event,,,,UniGE,GE,,,,,,20,unige,,,,,,
9327,"EVENT discussion de Robert Kurz (2017), Impérialisme d’exclusion et État d’exception, Paris : Divergences.","Robert Kurz (2017), Impérialisme d’exclusion et État d’exception, Paris : Divergences.",2024-02-19-gvp,event,event,,,,,VD,,,,,,1361,gvp,,,,,,
8343,EVENT/ARTICLE Wir sind müde. Politik der Erschöpfung – Erschöpfung der Politik,Wir sind müde. Politik der Erschöpfung – Erschöpfung der Politik,2022-12-15-entresol,article,article about event,,,German,,ZH,,,,,,429,entresol,,,,,,
6457,EVENT/ARTICLE Vortrag von Fiona Wachberger,Kleine Einführung in die feministische Ethik,2022-11-02-pgz,article,article about event,,,German,,LU,,,,,,1287,pgz,,,,,,
9061,"EVENT/ARTICLE My Body, my Choice!","My Body, my Choice!",2022-10-26-pgz,article,article about event,,,German,,LU,,,,,,1287,pgz,,,,,,
9344,EVENT Wie fangen wir neu an?,Wie fangen wir neu an?,2024-01-07-philosophieren,event,event,,,,,BE,,,,,,25735,philosophieren-mit,,,,,,
9345,"EVENT Wie geht ""miteinander""?","Wie geht ""miteinander""?",2024-01-21-philosophieren,event,event,,,,,BE,,,,,,25119,blum,,,,,,
9054,EVENT Symposium Aristotelicum. Metaphysics Γ,Symposium Aristotelicum. Metaphysics Γ,2024-07-22-amphi2,event,event,,,,UniGE,GE,,,,,,26030,amphi,,,,,,
9366,"EVENT Sens et sensorialités à travers le temps. Sources, usages, lexiques, représentations, théories","Sens et sensorialités à travers le temps. Sources, usages, lexiques, représentations, théories",2024-05-24-unil,event,event,,,,UniL,VD,,,,,,19,unil,,,,,,
9414,"EVENT Foxs Summerschool 2024: ""Subdue the Earth?""","Foxs Summerschool 2024: ""Subdue the Earth?""",foxs-summerschool-2024,event,event,,,,,,,,,,,26402,foxs,,,,,,
8834,JOB: 5-year PhD Lausanne (Political Science),5-year PhD Lausanne (Political Science),2023-08-25-phd-unil,article,information page,,,English,UniL,VD,job,,,,,19,unil,,,,,,
8449,JOB: 4-year postdoc position Neuchâtel,4-year postdoc position at the University of Neuchâtel,2023-05-31-postdoc-unine,article,information page,,,English,UniNE,NE,job,,,,,23,unine,,,,,,
8451,JOB: 4-year PhD position Basel,4-year PhD position at the University of Basel,2023-04-09-unibs,article,information page,,,English,UniBS,BS,job,,,,,829,hohl,,,,,,
7139,JOB: 4-year PhD position Geneva,4-year PhD position at the University of Geneva,2023-03-01-unige,article,information page,,,English,UniGE,GE,job,,,,,25322,lebihan,,,,,,
6842,JOB: 3-year post-doc position Berne,3-year post-doc position at the University of Berne,2023-01-31-unibe,article,information page,,,English,UniBE,BE,job,,,,,25583,matheson,,,,,,
8443,JOB: 5-year PhD position Geneva,5-year PhD position at the University of Geneva,2023-05-01-unige,article,information page,,,English,UniGE,GE,job,,,,,77,correia,,,,,,
9208,JOB: PhD Position: A quantitative study on human-nature relations of bird watchers,PhD Position: A quantitative study on human-nature relations of bird watchers,2023-11-30-phd-uzh,article,information page,,,English,UZH,ZH,job,,,,,1536,uzh,,,,,,
8447,JOB: 4-year PhD position Neuchâtel,4-year PhD position at the University of Neuchâtel,2023-05-31-phd-unine,article,information page,,,English,UniNE,NE,job,,,,,23,unine,,,,,,
8829,JOB: 4-year PhD position Lugano,4-year PhD position Lugano,2023-08-15-usi,article,information page,,,English,USI,TI,job,,,,,25120,dcosta,,,,,,
9207,JOB: Professeur-e assistant-e en philo ancienne,Professeur-e assistant-e en philosophie ancienne,2024-08-01-unige,article,information page,,picture,French,UniGE,GE,job,,,,,20,unige,,,,,,
7951,UNIBE Tumarkin Lectures,Tumarkin Lectures,tumarkinlectures,standard,information page,,,German,UniBE,BE,,,,,,25119,blum,,,,,,
