new_tags,id
page type: article about event;language: German;canton: BE;special content 2: our event;,8025
page type: article about event;language: German;canton: BE;special content 2: our event;,8026
page type: article about event;language: German;canton: BE;special content 2: our event;,8027
page type: article about event;language: German;canton: BE;special content 2: our event;,8028
page type: article about event;language: German;canton: BE;,9254
page type: article about event;language: German;canton: BE;,9255
page type: article about event;language: German;canton: BE;,9256
page type: article about event;language: German;canton: BE;,9257
page type: article about event;language: German;canton: BE;special content 2: our event;,9508
page type: article about event;language: German;canton: BE;special content 2: our event;,9750
page type: article about event;language: multilingual;canton: BE;,8420
page type: information page;language: French;canton: BE;,7570
page type: information page;language: French;canton: BE;,7572
page type: information page;language: German;canton: BE;,1641
page type: information page;language: German;canton: BE;,2264
page type: information page;language: German;canton: BE;,3509
page type: information page;language: German;canton: BE;,5579
page type: presentation page;language: German;university: Cafe;canton: BS;,6448
page type: presentation page;language: German;university: Cafe;canton: BS;,6725
page type: presentation page;language: German;university: Cafe;canton: BS;,8000
page type: presentation page;language: German;university: Cafe;canton: BS;,8498
page type: presentation page;language: German;university: PH;canton: BS;special content 1: high schools;,7978
page type: presentation page;language: German;university: Soc;canton: BS;,5125
page type: event;university: UniBS;canton: BS;,9210
page type: event;university: UniBS;canton: BS;,9534
page type: media article;media 1: audio;language: German;university: UniBS;canton: BS;,9003
page type: presentation page;language: German;university: UniBS;canton: BS;,6339
page type: presentation page;language: German;university: UniBS;canton: BS;,6344
page type: presentation page;language: German;university: UniBS;canton: BS;,7963
page type: article about event;language: German;university: UniBS;canton: BS;special content 1: PhD;,5031
page type: information page;language: English;university: UniBS;canton: BS;special content 1: job;,8446
page type: information page;language: English;university: UniBS;canton: BS;special content 1: job;,8450
page type: information page;language: English;university: UniBS;canton: BS;special content 1: job;,8451
page type: information page;language: English;university: UniBS;canton: BS;special content 1: job;,8833
page type: information page;language: English;university: UniBS;canton: BS;special content 1: job;,9621
page type: presentation page;language: German;university: VH;canton: BS;,7933
page type: article;language: German;canton: BS;,6355
page type: event;canton: BS;,9628
page type: event;canton: BS;,9629
page type: event;canton: BS;,9630
page type: event;canton: BS;,9631
page type: portal page;language: German;canton: BS;special content 1: site map;,7917
page type: presentation page;language: German;canton: BS;,5761
page type: presentation page;language: German;canton: BS;,7940
page type: article about event;media 1: audio;language: German;canton: BS;special content 1: philExpo22;,6570
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,5392
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,5403
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,5406
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,5407
page type: article about event;language: German;canton: BS;special content 1: philExpo22;special content 2: high schools;,5411
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,5662
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,6567
page type: article about event;language: German;canton: BS;special content 1: philExpo22;,6575
page type: article about event;media 1: audio;language: German;canton: BS;special content 2: our event;,6819
page type: article about event;language: German;canton: BS;,1357
page type: article about event;language: German;canton: BS;,1666
