id,old_tags,new_tags,tagging_status,unexpected_error,changed?
9038,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
9017,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: information page""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: information page""]",success,,VERDADERO
9032,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
9037,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
9178,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
9180,"[""other: other: canton: GE"", ""other: other: university: UniGE"", ""other: other: language: English"", ""other: other: page type: article about event""]","[""canton: GE"", ""university: UniGE"", ""language: English"", ""page type: article about event""]",success,,VERDADERO
5887,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
5890,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
5892,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
5894,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
5901,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
9205,"[""other: other: canton: BE"", ""other: other: university: UniBE"", ""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: metaphi""]","[""canton: BE"", ""university: UniBE"", ""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: metaphi""]",success,,VERDADERO
7678,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5057,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5059,"[""other: other: language: German"", ""other: other: media 2: picture"", ""other: other: page type: article"", ""other: other: special content 2: testimonial""]","[""language: German"", ""media 2: picture"", ""page type: article"", ""special content 2: testimonial""]",success,,VERDADERO
5062,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5064,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5067,"[""other: other: language: German"", ""other: other: media 2: picture"", ""other: other: page type: article"", ""other: other: special content 2: testimonial""]","[""language: German"", ""media 2: picture"", ""page type: article"", ""special content 2: testimonial""]",success,,VERDADERO
5069,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5066,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5073,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
5072,"[""other: other: language: German"", ""other: other: page type: article"", ""other: other: special content 1: testimonial""]","[""language: German"", ""page type: article"", ""special content 1: testimonial""]",success,,VERDADERO
8059,"[""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: our publication""]","[""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: our publication""]",success,,VERDADERO
8057,"[""other: other: language: German"", ""other: other: page type: media article"", ""other: other: media 1: pdf"", ""other: other: special content 1: our publication""]","[""language: German"", ""page type: media article"", ""media 1: pdf"", ""special content 1: our publication""]",success,,VERDADERO
8830,"[""other: other: language: German"", ""other: other: page type: article without DOI"", ""other: other: special content 1: Fluchtgeschichten""]","[""language: German"", ""page type: article without DOI"", ""special content 1: Fluchtgeschichten""]",success,,VERDADERO
9172,"[""other: other: language: German"", ""other: other: page type: article without DOI"", ""other: other: special content 1: Fluchtgeschichten""]","[""language: German"", ""page type: article without DOI"", ""special content 1: Fluchtgeschichten""]",success,,VERDADERO
9183,"[""other: other: language: German"", ""other: other: page type: article without DOI"", ""other: other: special content 1: Fluchtgeschichten""]","[""language: German"", ""page type: article without DOI"", ""special content 1: Fluchtgeschichten""]",success,,VERDADERO
8917,"[""other: other: language: German"", ""other: other: canton: LU"", ""other: other: page type: article"", ""other: other: university: UniLU""]","[""language: German"", ""canton: LU"", ""page type: article"", ""university: UniLU""]",success,,VERDADERO
8959,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
8960,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
9008,"[""other: other: language: German"", ""other: other: media 2: picture"", ""other: other: page type: article"", ""other: other: special content 2: Fluchtgeschichten""]","[""language: German"", ""media 2: picture"", ""page type: article"", ""special content 2: Fluchtgeschichten""]",success,,VERDADERO
8846,"[""other: other: language: German"", ""other: other: page type: article without DOI"", ""other: other: special content 1: Fluchtgeschichten""]","[""language: German"", ""page type: article without DOI"", ""special content 1: Fluchtgeschichten""]",success,,VERDADERO
8956,"[""other: other: language: English"", ""other: other: page type: article without DOI"", ""other: other: special content 1: Fluchtgeschichten""]","[""language: English"", ""page type: article without DOI"", ""special content 1: Fluchtgeschichten""]",success,,VERDADERO
2342,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
1020,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
1703,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
2361,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
2184,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
1157,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
940,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
86,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
8480,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
8530,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
8241,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
8349,"[""other: other: language: German"", ""other: other: page type: article""]","[""language: German"", ""page type: article""]",success,,VERDADERO
