id,old_tags,new_tags,tagging_status,unexpected_error
9271,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9272,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9273,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9274,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9275,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9276,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9277,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9279,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9281,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9282,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9283,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9459,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9460,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9471,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9472,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9473,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9474,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9475,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9476,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9477,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9478,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9479,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9481,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9482,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9483,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9484,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9485,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9486,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9487,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9488,English;UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9489,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9490,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9491,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9492,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9493,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9510,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9511,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9512,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9513,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9514,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9515,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9516,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9517,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9531,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9535,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9537,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9538,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9539,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9540,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9541,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9542,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9543,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9544,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9545,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9558,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9567,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9573,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9579,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9582,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9583,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9584,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9585,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9586,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9587,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9588,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9589,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9590,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9591,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9592,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9596,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9597,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9600,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9601,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9633,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9634,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9635,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9636,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9637,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9638,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9639,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9640,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9641,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9642,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9643,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9666,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9667,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9747,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9748,UniGE;event;GE,page type: event;university: UniGE;canton: GE;,success,
9678,article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: English;university: UniGE;canton: GE;special content 1: student paper;,success,
9688,article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: English;university: UniGE;canton: GE;special content 1: student paper;,success,
9689,article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: English;university: UniGE;canton: GE;special content 1: student paper;,success,
9676,article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: French;university: UniGE;canton: GE;special content 1: student paper;,success,
9679,article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: French;university: UniGE;canton: GE;special content 1: student paper;,success,
9684,article;article with pdf;UniGE;GE,page type: media article;media 1: pdf;language: French;university: UniGE;canton: GE;special content 1: student paper;,success,
6340,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
7961,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
7962,presentation page;UniGE;GE,page type: presentation page;language: English;university: UniGE;canton: GE;,success,
